City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Half Moon Bay,US,37.4636,-122.4286,78.75,78,1,1.01,clear sky
1,Ushuaia,AR,-54.8,-68.3,38.86,75,75,2.3,broken clouds
2,Caravelas,BR,-17.7125,-39.2481,68.31,68,2,5.44,clear sky
3,Adrar,MR,20.5022,-10.0711,89.67,22,73,9.24,broken clouds
4,Vostok,RU,46.4856,135.8833,93.45,36,49,4.45,scattered clouds
5,Srednekolymsk,RU,67.45,153.6833,64.04,40,100,13.53,overcast clouds
6,Kaitangata,NZ,-46.2817,169.8464,49.93,53,96,10.11,overcast clouds
7,Vaini,TO,-21.2,-175.2,77.16,94,20,9.22,light rain
8,Oussouye,SN,12.485,-16.5469,77.86,78,95,4.99,light rain
9,Acarau,BR,-2.8856,-40.12,75.74,81,5,11.56,clear sky
10,Port Alberni,CA,49.2413,-124.8028,79.88,54,8,1.01,clear sky
11,Altus,US,34.6381,-99.334,87.31,63,1,8.05,clear sky
12,Vao,NC,-22.6667,167.4833,72.36,80,10,7.4,clear sky
13,Carlos Antonio Lopez,PY,-26.4,-54.7667,59.45,73,13,3.18,few clouds
14,Punta Arenas,CL,-53.15,-70.9167,35.71,93,75,16.11,broken clouds
15,Kutum,SD,14.2,24.6667,72.07,77,98,10.85,overcast clouds
16,Narsaq,GL,60.9167,-46.05,44.82,87,83,4.45,broken clouds
17,Taunggyi,MM,20.7833,97.0333,69.03,79,100,5.03,overcast clouds
18,Cabo San Lucas,MX,22.8909,-109.9124,88.52,73,59,5.01,broken clouds
19,Atuona,PF,-9.8,-139.0333,78.42,70,15,17.85,few clouds
20,Lerwick,GB,60.1545,-1.1494,55.4,80,99,6.87,overcast clouds
21,Hobart,AU,-42.8794,147.3294,46.26,74,75,5.99,broken clouds
22,Ixtapa,MX,20.7,-105.2,77.02,93,95,1.99,overcast clouds
23,College,US,64.8569,-147.8028,70.0,53,75,10.36,broken clouds
24,Mouzouras,GR,35.5333,24.15,76.44,73,20,8.05,few clouds
25,Butaritari,KI,3.0707,172.7902,83.01,73,15,11.9,light rain
26,Albany,US,42.6001,-73.9662,72.18,70,100,3.0,overcast clouds
27,Yar-Sale,RU,66.8333,70.8333,60.21,68,9,13.58,clear sky
28,Ambilobe,MG,-13.2,49.05,64.92,74,78,2.82,broken clouds
29,Mataura,NZ,-46.1927,168.8643,51.48,80,94,3.56,overcast clouds
30,Airai,TL,-8.9266,125.4092,77.31,21,19,3.91,few clouds
31,Qaanaaq,GL,77.484,-69.3632,38.3,67,100,4.5,overcast clouds
32,Kieta,PG,-6.2167,155.6333,81.0,81,79,9.51,light rain
33,Busselton,AU,-33.65,115.3333,64.04,67,71,19.28,broken clouds
34,Rikitea,PF,-23.1203,-134.9692,69.49,56,0,0.18,clear sky
35,Kingaroy,AU,-26.5333,151.8333,65.05,41,0,19.57,clear sky
36,Lorengau,PG,-2.0226,147.2712,85.03,65,40,5.14,scattered clouds
37,Bengkulu,ID,-3.8004,102.2655,84.18,62,2,0.65,clear sky
38,Talnakh,RU,69.4865,88.3972,49.06,92,100,5.5,moderate rain
39,Bafra,TR,41.5678,35.9069,65.98,74,0,8.41,clear sky
40,San Quintin,MX,30.4833,-115.95,68.54,84,100,7.43,overcast clouds
41,Cayenne,GF,4.9333,-52.3333,79.09,87,0,1.01,clear sky
42,Arraial Do Cabo,BR,-22.9661,-42.0278,69.4,76,0,24.0,clear sky
43,Ribeira Grande,PT,38.5167,-28.7,69.78,90,20,13.78,few clouds
44,Lebu,CL,-37.6167,-73.65,50.36,89,98,23.73,light rain
45,Mar Del Plata,AR,-38.0023,-57.5575,52.12,63,90,18.01,moderate rain
46,Esperance,AU,-33.8667,121.9,60.64,63,98,20.33,overcast clouds
47,Bluff,NZ,-46.6,168.3333,51.8,72,100,10.83,moderate rain
48,Hilo,US,19.7297,-155.09,78.53,91,90,3.44,light rain
49,Izberbash,RU,42.5696,47.8645,75.25,64,47,2.33,scattered clouds
50,Sao Filipe,CV,14.8961,-24.4956,73.42,76,33,5.57,scattered clouds
51,Yellowknife,CA,62.456,-114.3525,58.28,47,40,5.75,scattered clouds
52,Ilulissat,GL,69.2167,-51.1,42.82,87,90,4.61,overcast clouds
53,Soyo,AO,-6.1349,12.3689,70.18,93,10,4.76,clear sky
54,Grindavik,IS,63.8424,-22.4338,48.67,100,90,9.22,overcast clouds
55,Hamilton,US,39.1834,-84.5333,79.75,76,40,9.22,scattered clouds
